日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-02,600298,28.94,29.06,29.27,28.16,106102,342368944.0,3.82,-0.07,-0.02,1.29
2018-01-03,600298,28.89,30.23,30.39,28.68,134088,445378592.0,5.88,4.03,1.17,1.63
2018-01-04,600298,30.06,30.46,30.56,29.9,80757,273805200.0,2.18,0.76,0.23,0.98
2018-01-05,600298,30.35,29.93,30.44,29.74,56678,190836010.0,2.3,-1.74,-0.53,0.69
2018-01-08,600298,29.76,28.98,29.76,28.73,106634,347922512.0,3.44,-3.17,-0.95,1.29
2018-01-09,600298,28.77,29.34,29.38,28.77,76443,250856897.0,2.1,1.24,0.36,0.93
2018-01-10,600298,29.25,30.62,30.74,29.08,162542,549565632.0,5.66,4.36,1.28,1.97
2018-01-11,600298,30.59,30.09,30.61,29.75,104750,353693520.0,2.81,-1.73,-0.53,1.27
2018-01-12,600298,30.15,29.89,30.45,29.52,58234,195202639.0,3.09,-0.66,-0.2,0.71
2018-01-15,600298,29.88,30.95,31.15,29.88,157597,542191104.0,4.25,3.55,1.06,1.91
2018-01-16,600298,31.08,32.85,33.64,31.08,220812,796607328.0,8.27,6.14,1.9,2.68
2018-01-17,600298,33.11,32.2,33.56,31.76,185281,669117488.0,5.48,-1.98,-0.65,2.25
2018-01-18,600298,31.71,32.41,32.8,31.67,75157,270220976.0,3.51,0.65,0.21,0.91
2018-01-19,600298,32.36,31.56,32.36,31.02,98290,346146208.0,4.13,-2.62,-0.85,1.19
2018-01-22,600298,31.28,31.99,32.26,30.88,111393,391877680.0,4.37,1.36,0.43,1.35
2018-01-23,600298,31.99,31.4,32.03,30.93,118871,416449328.0,3.44,-1.84,-0.59,1.44
2018-01-24,600298,31.91,30.3,31.99,29.95,164369,564714656.0,6.5,-3.5,-1.1,1.99
2018-01-25,600298,29.99,29.69,30.14,29.16,151605,503420576.0,3.23,-2.01,-0.61,1.84
2018-01-26,600298,29.78,29.48,29.93,29.37,98950,328928992.0,1.89,-0.71,-0.21,1.2
2018-01-29,600298,29.46,28.47,29.49,28.26,119863,386961504.0,4.17,-3.43,-1.01,1.45
