日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-09,600575,3.97,3.96,4.04,3.9,240693,100855430.0,3.66,3.39,0.13,0.77
2018-01-10,600575,3.98,3.91,3.98,3.86,144312,59513651.0,3.03,-1.26,-0.05,0.46
2018-01-11,600575,3.92,3.86,3.92,3.84,106646,43510271.0,2.05,-1.28,-0.05,0.34
2018-01-12,600575,3.87,3.84,3.89,3.83,59853,24414393.0,1.55,-0.52,-0.02,0.19
2018-01-15,600575,3.85,3.8,3.87,3.79,69914,28196096.0,2.08,-1.04,-0.04,0.22
2018-01-16,600575,3.78,3.82,3.83,3.78,77378,31133660.0,1.32,0.53,0.02,0.25
2018-01-17,600575,3.8,3.76,3.81,3.71,98748,39285953.0,2.62,-1.57,-0.06,0.32
2018-01-18,600575,3.75,3.82,3.83,3.74,81314,32655039.0,2.39,1.6,0.06,0.26
2018-01-19,600575,3.79,3.79,3.82,3.77,38314,15366385.0,1.31,-0.79,-0.03,0.12
2018-01-22,600575,3.78,3.82,3.84,3.76,53258,21374860.0,2.11,0.79,0.03,0.17
2018-01-23,600575,3.8,3.79,3.82,3.78,41559,16684988.0,1.05,-0.79,-0.03,0.13
2018-01-24,600575,3.8,3.82,3.82,3.78,46206,18571471.0,1.06,0.79,0.03,0.15
2018-01-25,600575,3.8,3.79,3.8,3.77,65926,26394285.0,0.79,-0.79,-0.03,0.21
2018-01-26,600575,3.78,3.83,3.84,3.73,130041,51968753.0,2.9,1.06,0.04,0.42
2018-01-29,600575,3.79,3.88,3.99,3.76,232215,95092190.0,6.01,1.31,0.05,0.74
2018-01-30,600575,3.88,3.83,3.9,3.81,57637,23451988.0,2.32,-1.29,-0.05,0.18
2018-01-31,600575,3.83,3.77,3.84,3.76,49885,19949663.0,2.09,-1.57,-0.06,0.16
2018-02-01,600575,3.76,3.59,3.79,3.58,82605,32399884.0,5.57,-4.77,-0.18,0.26
2018-02-02,600575,3.22,3.44,3.51,3.21,114693,41152537.0,8.36,-4.18,-0.15,0.37
2018-02-05,600575,3.36,3.51,3.52,3.28,66178,24159774.0,6.98,2.03,0.07,0.21
2018-02-06,600575,3.42,3.5,3.51,3.38,111797,41113299.0,3.7,-0.28,-0.01,0.36
2018-02-07,600575,3.57,3.52,3.61,3.49,101068,38083106.0,3.43,0.57,0.02,0.32
2018-02-08,600575,3.53,3.55,3.59,3.47,35933,13543854.0,3.41,0.85,0.03,0.11
2018-02-09,600575,3.47,3.49,3.51,3.36,77405,28367882.0,4.23,-1.69,-0.06,0.25
2018-02-12,600575,3.51,3.49,3.53,3.48,29129,10848555.0,1.43,0.0,0.0,0.09
2018-02-13,600575,3.51,3.49,3.53,3.48,21407,7962026.0,1.43,0.0,0.0,0.07
2018-02-14,600575,3.49,3.49,3.5,3.47,19415,7199432.0,0.86,0.0,0.0,0.06
2018-02-22,600575,3.51,3.5,3.53,3.48,30885,11524373.0,1.43,0.29,0.01,0.1
2018-02-23,600575,3.51,3.51,3.53,3.49,27880,10389411.0,1.14,0.29,0.01,0.09
2018-02-26,600575,3.51,3.61,3.66,3.51,155450,58907028.0,4.27,2.85,0.1,0.5
2018-02-27,600575,3.6,3.64,3.78,3.56,170309,66115531.0,6.09,0.83,0.03,0.54
2018-02-28,600575,3.61,3.61,3.62,3.54,139173,52747291.0,2.2,-0.82,-0.03,0.45
2018-03-01,600575,3.57,3.49,3.57,3.45,161051,60165808.0,3.32,-3.32,-0.12,0.52
2018-03-02,600575,3.48,3.49,3.51,3.39,222509,81225922.0,3.44,0.0,0.0,0.71
2018-03-05,600575,3.45,3.48,3.49,3.44,61662,22716721.0,1.43,-0.29,-0.01,0.2
2018-03-06,600575,3.47,3.48,3.5,3.45,129659,47950318.0,1.44,0.0,0.0,0.41
2018-03-07,600575,3.49,3.49,3.5,3.46,82164,30434038.0,1.15,0.29,0.01,0.26
