日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-02,600592,8.96,9.13,9.2,8.91,81007,80448241.0,3.24,2.13,0.19,2.03
2018-01-03,600592,9.09,9.15,9.31,9.03,74233,74015744.0,3.07,0.22,0.02,1.86
2018-01-04,600592,9.11,9.32,9.42,9.11,115024,116206802.0,3.39,1.86,0.17,2.88
2018-01-05,600592,9.32,9.34,9.48,9.25,84933,86324072.0,2.47,0.21,0.02,2.13
2018-01-08,600592,9.28,9.25,9.37,9.18,59046,59430366.0,2.03,-0.96,-0.09,1.48
2018-01-09,600592,9.22,9.23,9.27,9.16,41839,41975415.0,1.19,-0.22,-0.02,1.05
2018-01-10,600592,9.22,8.95,9.23,8.9,73157,72098303.0,3.58,-3.03,-0.28,1.83
2018-01-11,600592,8.98,9.03,9.05,8.94,33686,33066248.0,1.23,0.89,0.08,0.84
2018-01-12,600592,8.93,8.93,9.04,8.85,33794,32980712.0,2.1,-1.11,-0.1,0.85
2018-01-15,600592,8.9,8.47,8.93,8.42,70056,66206992.0,5.71,-5.15,-0.46,1.75
2018-01-16,600592,8.47,9.4,9.4,8.47,214865,213010012.0,10.98,10.98,0.93,5.38
2018-01-17,600592,9.48,9.52,9.65,9.21,181479,186311606.0,4.68,1.28,0.12,4.54
2018-01-18,600592,9.47,9.4,9.53,9.33,83924,85839976.0,2.1,-1.26,-0.12,2.1
2018-01-19,600592,9.48,9.29,9.48,9.24,66249,67285265.0,2.55,-1.17,-0.11,1.66
2018-01-22,600592,9.29,9.39,9.43,9.09,73499,74410229.0,3.66,1.08,0.1,1.84
2018-01-23,600592,9.36,9.29,9.36,9.22,46410,46895857.0,1.49,-1.06,-0.1,1.16
2018-01-24,600592,9.29,9.36,9.45,9.18,63246,64174787.0,2.91,0.75,0.07,1.58
2018-01-25,600592,9.35,9.4,9.47,9.28,61826,63100912.0,2.03,0.43,0.04,1.55
2018-01-26,600592,9.37,9.31,9.47,9.28,45776,46559375.0,2.02,-0.96,-0.09,1.15
2018-01-29,600592,9.28,9.15,9.41,9.11,49886,50280781.0,3.22,-1.72,-0.16,1.25
2018-01-30,600592,9.13,8.82,9.13,8.8,58920,57365007.0,3.61,-3.61,-0.33,1.47
