序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
19,600789,鲁抗医药,10.23,10.0,0.93,1259367.0,1253524753.0,7.63,10.23,9.52,9.6,9.3,16.1,14.01,56.79,2.08,10692291429.0,9193390335.0,0.0,0.0,3.33,13.16
20,603191,望变电气,20.69,9.99,1.88,248111.0,501441685.0,8.72,20.69,19.05,19.08,18.81,1.85,7.52,63.72,2.75,6876391991.0,6828473951.0,0.0,0.0,30.95,39.7
21,600531,豫光金铅,18.63,9.98,1.69,94267.0,175619756.0,0.0,18.63,18.63,18.63,16.94,0.13,0.78,27.23,3.47,22528564064.0,22528564064.0,0.0,0.0,56.82,58.55
22,600916,中国黄金,10.14,9.98,0.92,1537359.0,1536397935.0,6.18,10.14,9.57,9.71,9.22,4.24,9.15,38.15,2.37,17035200000.0,17035200000.0,0.0,0.0,20.14,24.42
23,603958,哈森股份,15.11,9.97,1.37,106509.0,157302652.0,6.55,15.11,14.21,14.34,13.74,4.75,4.86,-134.56,4.81,3314529600.0,3314529600.0,0.0,0.0,-7.36,13.61
24,600791,京能置业,5.97,9.94,0.54,147350.0,85640224.0,9.76,5.97,5.44,5.49,5.43,2.04,3.26,-7.57,6.85,2703693600.0,2700312765.0,0.0,0.0,17.75,27.56
25,601212,白银有色,11.4,9.93,1.03,5429119.0,6098208891.0,5.59,11.41,10.83,10.97,10.37,2.37,7.33,-294.64,5.47,84414429425.0,84414429425.0,-0.09,0.0,114.69,94.87
26,603050,科林电气,22.11,9.73,1.96,116087.0,248102156.0,9.83,22.17,20.19,20.41,20.15,2.74,2.88,30.77,4.87,8917387357.0,8917387357.0,0.27,0.23,14.15,22.7
27,601168,西部矿业,34.78,9.61,3.05,815305.0,2716767673.0,7.03,34.82,32.59,32.59,31.73,2.51,3.42,21.1,4.69,82880740000.0,82880740000.0,0.52,0.14,40.75,25.83
28,600489,中金黄金,32.88,9.6,2.88,1002090.0,3255898487.0,5.67,33.0,31.3,31.31,30.0,1.83,2.07,32.49,5.46,159379637104.0,159379637104.0,-0.03,-0.06,47.44,40.75
29,688158,优刻得-W,35.59,9.14,2.98,910300.0,3423258261.0,13.95,39.13,34.58,36.5,32.61,4.57,22.45,-146.0,6.75,16239897833.0,14430816386.0,-0.11,-0.56,45.38,26.7
30,688668,鼎通科技,154.9,9.08,12.9,126817.0,1916254346.0,12.58,158.0,140.14,140.14,142.0,2.81,9.11,91.63,11.34,21573016869.0,21573016869.0,-0.33,-0.39,66.43,24.92
31,601069,西部黄金,37.32,8.74,3.0,363598.0,1333235684.0,5.89,37.71,35.69,35.9,34.32,1.52,4.1,86.11,7.47,33998487270.0,33109872693.0,-0.16,-0.16,35.07,39.88
