日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,724.3258056640625,,0,0.0,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-02,724.3258056640625,0.0,0,0.0,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-03,724.3258056640625,0.0,0,0.0,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-04,728.2926635742188,0.5476620988975389,5700,4151268.182373047,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-05,726.7060546875,-0.2178532018889512,7100,5159612.98828125,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-08,726.7060546875,0.0,0,0.0,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-09,726.7060546875,0.0,20400,14824803.515625,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-10,729.0859985351562,0.3274974568196809,5500,4009972.99194336,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-11,737.0194702148438,1.0881393547025997,8600,6338367.443847656,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-12,734.6393432617188,-0.3229394947234176,11500,8448352.447509766,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-15,738.6061401367188,0.539965210328619,5400,3988473.156738281,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-16,738.6061401367188,0.0,6400,4727079.296875,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-17,724.3258056640625,-1.9334167016284096,35400,25641133.52050781,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-18,728.2926635742188,0.5476620988975389,11700,8521024.16381836,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-19,733.052734375,0.6535931279906704,5400,3958484.765625,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-22,732.2593383789062,-0.1082317763632878,11000,8054852.722167969,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-23,733.052734375,0.1083490444587775,5500,4031790.0390625,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-24,741.7796020507812,1.1904829307023634,10000,7417796.020507812,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-25,737.8128662109375,-0.5347593582887722,7200,5312252.63671875,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-26,736.2261962890625,-0.2150504544632614,6800,5006338.134765625,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-29,740.9861450195312,0.6465334640985532,9200,6817072.534179688,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-30,733.052734375,-1.0706557332893385,24500,17959791.9921875,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-01-31,732.2593383789062,-0.1082317763632878,18100,13253894.024658203,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-02-01,735.4329223632812,0.4333961778351325,6900,5074487.164306641,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-02-02,737.0194702148438,0.2157297835490235,7700,5675049.920654297,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-02-05,725.1194458007812,-1.6146146601247358,14900,10804279.74243164,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-02-06,697.3521728515625,-3.829337788418308,37700,26290176.916503903,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-02-07,706.0789794921875,1.2514202981457556,8700,6142887.121582031,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
2018-02-08,704.4922485351562,-0.224724287667144,8000,5635937.98828125,12.768637,2.0742784,6357664256.0,17.41,9.774,17.469999,325.0,119.12,,,
