日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2018-01-01,403.3835754394531,,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-02,403.3835754394531,0.0,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-03,403.3835754394531,0.0,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-04,404.1106872558594,0.1802532033224446,7000,2828774.810791016,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-05,404.6560668945313,0.134957984500561,2500,1011640.167236328,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-08,404.6560668945313,0.0,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-09,404.4742736816406,-0.0449253644671077,3500,1415659.9578857422,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-10,405.9285583496094,0.3595493613800071,9500,3856321.304321289,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-11,405.9285583496094,0.0,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-12,405.9285583496094,0.0,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-15,407.38287353515625,0.3582687533638218,4000,1629531.494140625,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-16,406.8375244140625,-0.1338664820053292,3000,1220512.5732421875,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-17,406.2921447753906,-0.1340534257397552,9500,3859775.375366211,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-18,406.2921447753906,0.0,0,0.0,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
2018-01-19,406.2921447753906,0.0,1000,406292.1447753906,3.8309114,0.2167657,2016525440.0,-10.3999995,1.264,-10.455,30.28,,,
