日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2018-01-01,2276.171142578125,,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-02,2276.171142578125,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-03,2276.171142578125,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-04,2297.42919921875,0.9339392914254674,6600,15163032.71484375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-05,2299.791259765625,0.102813203021812,4700,10809018.920898438,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-08,2299.791259765625,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-09,2294.27978515625,-0.2396510807653351,6700,15371674.560546877,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-10,2302.1533203125,0.3431811240804716,3500,8057536.62109375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-11,2300.578857421875,-0.0683908789537612,3400,7821968.115234375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-12,2294.27978515625,-0.2738037970445361,4600,10553687.01171875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-15,2302.9404296875,0.3774885952133378,4700,10823820.01953125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-16,2301.36572265625,-0.0683781052670862,6100,14038330.908203123,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-17,2286.40625,-0.6500258741571785,8300,18977171.875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-18,2276.95849609375,-0.4132141392742428,6800,15483317.7734375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-19,2274.59716796875,-0.1037053652515385,6500,14784881.591796877,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-22,2287.193603515625,0.553787533206318,7300,16696513.305664062,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-23,2303.7275390625,0.7228918234757575,3000,6911182.6171875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-24,2309.23974609375,0.2392733922646606,6600,15240982.32421875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-25,2298.216552734375,-0.4773516209402473,7300,16776980.834960938,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-26,2299.791259765625,0.0685186532738413,6400,14718664.0625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-29,2283.257080078125,-0.7189426265227672,5000,11416285.400390623,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-30,2267.510498046875,-0.6896543612474493,7100,16099324.536132812,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-01-31,2236.80517578125,-1.3541424523535015,14200,31762633.49609375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-01,2264.361328125,1.231942443718892,3600,8151700.78125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-02,2265.936279296875,0.0695538804833306,4200,9516932.373046877,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-05,2216.33447265625,-2.189020366275108,5800,12854739.94140625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-06,2140.75048828125,-3.410314882862131,17200,36820908.3984375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-07,2140.75048828125,0.0,10100,21621579.931640625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-08,2199.800537109375,2.7583807244876413,5800,12758843.115234377,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-09,2137.6015625,-2.827482472165721,6400,13680650.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-12,2137.6015625,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-13,2144.687255859375,0.3314786760862942,8300,17800904.223632812,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-14,2099.809326171875,-2.092516266177813,8300,17428417.407226562,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-15,2123.42919921875,1.1248579931748326,4500,9555431.396484377,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-16,2136.81396484375,0.6303372690704467,7700,16453467.529296877,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-19,2212.3974609375,3.537205266218724,3800,8407110.3515625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-20,2221.0576171875,0.3914376328352009,7300,16213720.60546875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-21,2195.076171875,-1.1697780873149988,3700,8121781.8359375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-22,2195.864013671875,0.0358913192612275,2000,4391728.02734375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-23,2218.696044921875,1.0397743716297203,3800,8431044.970703125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-26,2250.9765625,1.454931947618876,2700,6077636.71875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-27,2261.211669921875,0.4546963123644332,8900,20124783.862304688,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-02-28,2268.297607421875,0.3133690487385765,4300,9753679.711914062,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-01,2229.718505859375,-1.700795408691924,8500,18952607.299804688,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-02,2183.266845703125,-2.0832970634715453,9000,19649401.611328125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-05,2202.94921875,0.9015101880748944,6800,14980054.6875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-06,2218.696044921875,0.7148065891782185,4800,10649741.015625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-07,2223.419921875,0.2129123078367101,6600,14674571.484375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-08,2219.483642578125,-0.1770371515586455,1300,2885328.7353515625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-09,2212.3974609375,-0.3192716316842814,7700,17035460.44921875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-12,2259.63720703125,2.135228724848215,5500,12428004.638671877,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-13,2283.257080078125,1.0452949249276644,8100,18494382.34863281,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-14,2273.02197265625,-0.4482678499577841,2500,5682554.931640625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-15,2274.59716796875,0.0692996078106134,3700,8416009.521484375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-16,2312.388671875,1.6614591998282746,9700,22430170.1171875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-19,2273.02197265625,-1.7024257079943927,4100,9319390.087890623,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-20,2276.95849609375,0.1731845747579674,5200,11840184.1796875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-21,2276.95849609375,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-22,2282.4697265625,0.2420435189400605,3300,7532150.09765625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-23,2199.012939453125,-3.656424711273809,6600,14513485.400390623,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-26,2198.2255859375,-0.0358048605125893,6700,14728111.42578125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-27,2250.9765625,2.3997071501650646,9800,22059570.3125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-28,2254.170654296875,0.141898047722333,3700,8340431.420898437,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-29,2270.140625,0.7084632511155764,6400,14528900.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-03-30,2257.364501953125,-0.5627899393622404,3000,6772093.505859375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-02,2227.021728515625,-1.344168095637488,2600,5790256.494140625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-03,2258.961669921875,1.4341998103241993,3400,7680469.677734375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-04,2305.274658203125,2.050189204089148,10000,23052746.58203125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-05,2323.640625,0.7966932153407935,8900,20680401.5625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-06,2278.92431640625,-1.9244072475170348,3000,6836772.94921875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-09,2310.065673828125,1.3664937092330964,4400,10164288.96484375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-10,2325.237060546875,0.6567513162345939,7200,16741706.8359375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-11,2315.655517578125,-0.412067359983348,1400,3241917.724609375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-12,2303.677734375,-0.5172523767979165,3600,8293239.84375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-13,2302.08056640625,-0.0693312239345544,4000,9208322.265625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-16,2310.8642578125,0.3815544744362409,4200,9705629.8828125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-17,2299.685302734375,-0.4837564577984898,2600,5979181.787109375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-18,2302.87939453125,0.1388925603462931,2200,5066334.66796875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-19,2328.43115234375,1.109556925698274,3900,9080881.494140623,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-20,2300.483642578125,-1.2002721118678394,5100,11732466.577148438,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-23,2295.69287109375,-0.2082506215521751,1700,3902677.880859375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-24,2296.490966796875,0.0347649162121932,1900,4363332.836914063,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-25,2311.6630859375,0.6606653089424874,2800,6472656.640625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-26,2334.020751953125,0.967168016465414,5800,13537320.361328123,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-27,2345.200439453125,0.4789883504953796,6000,14071202.63671875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-04-30,2345.200439453125,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-01,2298.08837890625,-2.008871384906485,7500,17235662.841796875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-02,2314.058349609375,0.6949241312784293,3100,7173580.883789063,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-03,2314.058349609375,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-04,2314.058349609375,0.0,0,0.0,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-07,2320.4462890625,0.2760491953110566,2200,5104981.8359375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-08,2327.633056640625,0.3097148859682708,9900,23043567.260742188,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-09,2310.8642578125,-0.720422782288832,4600,10629975.5859375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-10,2353.1845703125,1.831362978458162,9800,23061208.7890625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-11,2395.505859375,1.7984687472636152,15300,36651239.6484375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-14,2393.10986328125,-0.1000204647537472,7400,17709012.98828125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-15,2393.908203125,0.0333599328639078,8000,19151265.625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-16,2385.923583984375,-0.3335390693010698,3700,8827917.260742188,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-17,2415.468505859375,1.2383012630128531,13100,31642637.42675781,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-18,2419.46044921875,0.1652658003899132,7500,18145953.369140625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-21,2411.475341796875,-0.3300366998953641,6000,14468852.05078125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-22,2407.48291015625,-0.1655597124061825,7600,18296870.1171875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-23,2394.707275390625,-0.5306635703094531,3200,7663063.28125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-24,2361.968505859375,-1.3671303322828732,4400,10392661.42578125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-25,2381.93115234375,0.845169884139163,1800,4287476.07421875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-28,2399.497802734375,0.7374961435530958,2700,6478644.0673828125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-29,2349.9912109375,-2.063206381787852,2600,6109977.1484375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-30,2320.4462890625,-1.2572354201790148,1800,4176803.3203125,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-05-31,2322.841796875,0.1032347882298001,3500,8129946.2890625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-01,2318.05078125,-0.2062566478459926,3800,8808592.96875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-04,2337.21484375,0.8267317806414098,3700,8647694.921875,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-05,2372.348876953125,1.503243627648421,1800,4270227.978515625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-06,2306.07373046875,-2.7936509308653656,4800,11069153.90625,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-07,2340.408935546875,1.4889031787871598,2500,5851022.338867188,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-08,2349.1923828125,0.3752954080895598,7600,17853862.109375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
2018-06-11,2349.1923828125,0.0,3500,8222173.33984375,0.58461493,20262258688.0,6.586,383.0,-467.38,,,
