日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS
2018-01-01,2318.501708984375,,0,0.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-02,2318.501708984375,0.0,0,0.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-03,2318.501708984375,0.0,0,0.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-04,2380.826904296875,2.688166891186028,127800,304269678.3691406,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-05,2376.671875,-0.1745204277293743,94800,225308493.75,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-08,2376.671875,0.0,0,0.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-09,2347.5869140625,-1.2237684656196013,176000,413175296.875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-10,2330.966796875,-0.7079660006597543,85000,198132177.734375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-11,2322.656494140625,-0.356517422106406,127400,295906437.3535156,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-12,2335.121826171875,0.5366842691847173,97600,227907890.234375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-15,2330.966796875,-0.1779362965266151,81200,189274503.90625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-16,2301.881591796875,-1.247774319098749,84600,194739182.6660156,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-17,2306.03662109375,0.1805057789107111,150400,346827907.8125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-18,2355.8974609375,2.162187685471406,216200,509345031.0546875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-19,2351.741943359375,-0.1763878796520845,109800,258221265.3808593,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-22,2360.052001953125,0.3533575874349326,100800,237893241.796875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-23,2364.20703125,0.1760566840661281,97800,231219447.65625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-24,2372.5166015625,0.351473885436615,82400,195495367.96875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-25,2347.5869140625,-1.0507697810663077,95000,223020756.8359375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-26,2384.98193359375,1.5929131018428633,150000,357747290.0390625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-29,2376.671875,-0.3484327690997713,123400,293281309.375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-30,2389.1376953125,0.5245074191194465,168000,401375132.8125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-01-31,2389.1376953125,0.0,186400,445335266.40625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-01,2455.61767578125,2.782593092025798,167200,410579275.390625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-02,2430.687744140625,-1.0152204020397293,138800,337379458.88671875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-05,2355.8974609375,-3.0769185957107537,176200,415109132.6171875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-06,2289.416259765625,-2.821905548699888,294800,674919913.3789062,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-07,2152.30078125,-5.98910215347479,525600,1131249290.625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-08,2181.3857421875,1.351342767278485,283800,619077273.6328125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-09,2222.935791015625,1.9047547632019768,285600,634870461.9140625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-12,2222.935791015625,0.0,0,0.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-13,2185.540771484375,-1.6822357030008894,349800,764502161.8652344,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-14,2173.075927734375,-0.5703322451190984,234400,509368997.4609375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-15,2239.556396484375,3.05927960921788,171400,383859966.3574219,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-16,2260.331787109375,0.9276565063337072,86000,194388533.69140625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-19,2364.20703125,4.595575071457358,126600,299308610.15625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-20,2393.29248046875,1.230241211294092,95800,229277419.62890625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-21,2376.671875,-0.6944661216457204,70400,167317700.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-22,2347.5869140625,-1.2237684656196013,124400,292039812.109375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-23,2276.951416015625,-3.008855502803953,160800,366133787.6953125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-26,2322.656494140625,2.007292637142788,101400,235517368.5058593,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-27,2343.431884765625,0.8944667744632095,96000,224969460.9375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-02-28,2306.03662109375,-1.595747839524464,139000,320539090.33203125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-01,2310.191650390625,0.1801805426187908,107600,248576621.58203125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-02,2293.57177734375,-0.7194153369944334,195800,449081354.0039063,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-05,2247.86669921875,-1.9927467967857715,59800,134422428.61328125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-06,2281.106689453125,1.4787349377046066,50800,115880219.82421876,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-07,2243.7119140625,-1.6393260150225577,116600,261616809.1796875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-08,2252.021484375,0.3703492529686825,59400,133770076.171875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-09,2264.48681640625,0.5535174561049683,119200,269926828.515625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-12,2314.346435546875,2.201806554111552,76200,176353198.38867188,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-13,2314.346435546875,0.0,56400,130529138.96484376,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-14,2322.656494140625,0.3590671848480831,87000,202071114.9902344,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-15,2306.03662109375,-0.7155544992900165,86000,198319149.4140625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-16,2301.881591796875,-0.1801805426188019,90000,207169343.26171875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-19,2264.48681640625,-1.624530797930146,111200,251810933.984375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-20,2256.1767578125,-0.3669731496577233,127600,287888154.296875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-21,2256.1767578125,0.0,0,0.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-22,2310.191650390625,2.394089576141889,120800,279071151.3671875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-23,2289.416259765625,-0.8992929492013024,166200,380500982.3730469,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-26,2281.106689453125,-0.3629558529190668,125400,286050778.8574219,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-27,2272.796875,-0.3642887240454806,167400,380466196.875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-28,2258.13330078125,-0.6451775070638432,113200,255620689.6484375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-29,2245.564697265625,-0.5565926294641921,126800,284737603.61328125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-03-30,2274.8916015625,1.305992400601319,100400,228399116.796875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2018-04-02,2258.13330078125,-0.7366637060745918,86000,194199463.8671875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
