日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,403.1839599609375,,0,0.0,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-02,403.1839599609375,0.0,0,0.0,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-03,403.1839599609375,0.0,0,0.0,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-04,404.0899658203125,0.2247127736586529,14500,5859304.504394531,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-05,411.3382568359375,1.793731997504766,26600,10941597.631835938,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-08,411.3382568359375,0.0,0,0.0,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-09,423.1166687011719,2.8634370057954994,20300,8589268.374633789,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-10,417.6804504394531,-1.284803616554775,24000,10024330.810546877,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-11,423.1166687011719,1.3015256653738927,11100,4696595.022583008,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-12,428.5528564453125,1.284796403986621,24700,10585255.55419922,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-15,433.0829772949219,1.0570740065029671,36200,15677603.778076172,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-16,443.04931640625,2.301253947587334,67300,29817218.994140625,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-17,434.8950500488281,-1.840487290120296,45100,19613766.75720215,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-18,437.6131591796875,0.625003464756424,32400,14178666.357421877,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-19,443.04931640625,1.2422289212583593,33200,14709237.3046875,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-22,461.16998291015625,4.089988593344462,199800,92141762.58544922,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-23,476.5725402832031,3.339887231135674,243900,116236042.57507324,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-24,482.00872802734375,1.1406842158614872,113900,54900794.12231445,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-25,469.32427978515625,-2.6315806135087105,88400,41488266.33300781,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-26,470.2302856445313,0.1930447450512851,76200,35831547.76611328,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-29,438.5191955566406,-6.74373621946216,155700,68277438.74816895,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-30,419.4924926757813,-4.3388529108076,97600,40942467.28515625,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-01-31,419.4924926757813,0.0,35600,14933932.739257812,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-01,423.1166687011719,0.8639429998552384,29000,12270383.392333984,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-02,414.0563659667969,-2.141324935788313,35600,14740406.628417969,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-05,406.8080749511719,-1.7505565935933998,85100,34619367.17834473,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-06,365.130615234375,-10.244993224827038,146700,53564661.25488281,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-07,376.9090270996094,3.2258077996757173,18200,6859744.293212891,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-08,381.439208984375,1.2019297918190786,7300,2784506.225585937,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-09,372.3788757324219,-2.3753020241619294,26100,9719088.656616213,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
2018-02-12,372.3788757324219,0.0,0,0.0,287.11658,0.9898666,2241059584.0,2.507,1.0980001,1.984,181.0,1.63,,,
