日期,收盘,涨跌幅,成交量,成交额,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2021-12-21,649.9243774414062,,2191000,1423984310.974121,17723883520.0,0.0,192.0,-7.63,,,
2021-12-22,660.923095703125,1.692307388902381,321700,212618959.8876953,17723883520.0,0.0,192.0,-7.63,,,
2021-12-23,760.9114379882812,15.128589534124748,520300,395902221.18530273,17723883520.0,0.0,192.0,-7.63,,,
2021-12-24,793.9076538085938,4.336406863267661,515900,409576958.5998535,17723883520.0,0.0,192.0,-7.63,,,
2021-12-27,808.9058837890625,1.8891655608203493,479700,388032152.4536133,17723883520.0,0.0,192.0,-7.63,,,
2021-12-28,823.9041748046875,1.8541453729289608,236400,194770946.92382807,17723883520.0,0.0,192.0,-7.63,,,
2021-12-29,819.9046020507812,-0.4854414962582765,69200,56737398.46191406,17723883520.0,0.0,192.0,-7.63,,,
2021-12-30,819.9046020507812,0.0,91500,75021271.08764648,17723883520.0,0.0,192.0,-7.63,,,
2022-01-04,790.907958984375,-3.5365874266199526,523600,414119407.3242188,17723883520.0,0.0,192.0,-7.63,,,
2022-01-05,751.9125366210938,-4.930462757430876,98800,74288958.61816406,17723883520.0,0.0,192.0,-7.63,,,
2022-01-06,682.9205322265625,-9.17553585481684,145600,99433229.4921875,17723883520.0,0.0,192.0,-7.63,,,
2022-01-07,771.9102172851562,13.030752607255192,120000,92629226.07421876,17723883520.0,0.0,192.0,-7.63,,,
2022-01-11,788.908203125,2.2020677352382334,63200,49858998.4375,17723883520.0,0.0,192.0,-7.63,,,
2022-01-12,781.9090576171875,-0.8871939067292889,29100,22753553.57666016,17723883520.0,0.0,192.0,-7.63,,,
2022-01-13,749.9127807617188,-4.092071391649455,19900,14923264.337158203,17723883520.0,0.0,192.0,-7.63,,,
2022-01-14,769.910400390625,2.6666593958558416,47800,36801717.13867188,17723883520.0,0.0,192.0,-7.63,,,
2022-01-17,764.9109497070312,-0.6493548705222341,23100,17669442.938232422,17723883520.0,0.0,192.0,-7.63,,,
2022-01-18,764.9109497070312,0.0,15200,11626646.435546877,17723883520.0,0.0,192.0,-7.63,,,
2022-01-19,746.9130859375,-2.3529358255918065,42900,32042571.38671875,17723883520.0,0.0,192.0,-7.63,,,
2022-01-20,755.9120483398438,1.2048205570061254,25600,19351348.4375,17723883520.0,0.0,192.0,-7.63,,,
2022-01-21,729.9151000976562,-3.4391498719041125,20600,15036251.06201172,17723883520.0,0.0,192.0,-7.63,,,
2022-01-24,746.9130859375,2.3287620488423366,26700,19942579.39453125,17723883520.0,0.0,192.0,-7.63,,,
2022-01-25,711.9171752929688,-4.685406013553184,20600,14665493.811035156,17723883520.0,0.0,192.0,-7.63,,,
2022-01-26,710.917236328125,-0.1404572047910335,13600,9668474.4140625,17723883520.0,0.0,192.0,-7.63,,,
2022-01-27,720.9160766601562,1.406470376731206,37800,27250627.697753903,17723883520.0,0.0,192.0,-7.63,,,
2022-01-28,751.9125366210938,4.299593387421341,17200,12932895.629882812,17723883520.0,0.0,192.0,-7.63,,,
2022-01-31,742.9135131835938,-1.1968178477166136,12600,9360710.26611328,17723883520.0,0.0,192.0,-7.63,,,
2022-02-01,747.9129638671875,0.6729519109391013,6900,5160599.450683594,17723883520.0,0.0,192.0,-7.63,,,
2022-02-02,738.9140014648438,-1.2032098435375893,10500,7758597.015380859,17723883520.0,0.0,192.0,-7.63,,,
2022-02-03,737.9141235351562,-0.135317226051379,37700,27819362.45727539,17723883520.0,0.0,192.0,-7.63,,,
2022-02-04,733.9146118164062,-0.542002326719182,3000,2201743.8354492188,17723883520.0,0.0,192.0,-7.63,,,
