日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,EPS,开盘,最高,最低
2022-09-15,785.0,2.080624187256186,389600,305836000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-16,784.0,-0.1273885350318471,579800,454563200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-20,778.0,-0.7653061224489832,583500,453963000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-21,809.0,3.984575835475579,750900,607478100.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-22,860.0,6.304079110012362,3499800,3009828000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-26,859.0,-0.1162790697674442,1360000,1168240000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-27,888.0,3.3760186263096514,2470000,2193360000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-28,848.0,-4.504504504504503,1543700,1309057600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-29,865.0,2.004716981132071,1289700,1115590500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-09-30,830.0,-4.046242774566478,758400,629472000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-03,882.0,6.265060240963849,1068200,942152400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-04,1032.0,17.006802721088434,8057900,8315752800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-05,1034.0,0.1937984496124034,25938300,26820202200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-06,1037.0,0.290135396518365,8580100,8897563700.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-07,1302.0,25.55448408871745,26519500,34528389000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-11,1324.0,1.6897081413210335,22747800,30118087200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-12,1287.0,-2.794561933534745,11566200,14885699400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-13,1055.0,-18.02641802641802,11715600,12359958000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-14,1072.0,1.611374407582944,8531700,9145982400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-17,1109.0,3.4514925373134275,6608300,7328604700.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-18,1144.0,3.155996393146987,4528200,5180260800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-19,1199.0,4.807692307692313,9031900,10829248100.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-20,1141.0,-4.837364470391991,5290500,6036460500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-21,1073.0,-5.95968448729185,2784400,2987661200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-24,1145.0,6.710158434296365,3803300,4354778500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-25,1148.0,0.2620087336244525,3139600,3604260800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-26,1161.0,1.1324041811846763,3081900,3578085900.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-27,1219.0,4.99569336778638,3320700,4047933300.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-28,1193.0,-2.132895816242819,2456700,2930843100.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-10-31,1204.0,0.9220452640402276,2122800,2555851200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-01,1291.0,7.225913621262459,7028800,9074180800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-02,1358.0,5.189775367931837,9479600,12873296800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-04,1352.0,-0.4418262150220897,5695500,7700316000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-07,1532.0,13.313609467455612,13929800,21340453600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-08,1561.0,1.8929503916448984,13883500,21672143500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-09,1478.0,-5.317104420243435,4621000,6829838000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-10,1482.0,0.270635994587276,3664500,5430789000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-11,1467.0,-1.0121457489878585,5347200,7844342400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-14,1767.0,20.449897750511248,19230300,33979940100.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-15,1747.0,-1.1318619128466323,14271800,24932834600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-16,2147.0,22.89639381797366,8372800,17976401600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-17,2362.0,10.01397298556126,23244100,54902564200.0,19.126783,20366409728.0,-50.463,-13.95,,,
