日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2022-03-07,621.0,-8.407079646017701,131200,81475200.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-08,620.5,-0.0805152979066026,84400,52370200.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-09,605.0,-2.497985495568089,160800,97284000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-10,620.25,2.520661157024784,102000,63265500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-11,593.0,-4.393389762192667,142400,84443200.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-14,653.25,10.160202360876893,403600,263651700.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-15,670.0,2.564102564102555,140000,93800000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-16,665.25,-0.7089552238805918,174800,116285700.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-17,791.25,18.940248027057493,371200,293712000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-18,966.25,22.116903633491305,1917200,1852494500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-22,966.25,0.0,2516000,2431085000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-23,958.75,-0.7761966364812412,1363600,1307351500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-24,946.25,-1.3037809647979182,589600,557909000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-25,922.5,-2.509907529722588,488800,450918000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-28,896.25,-2.845528455284552,174400,156306000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-29,941.25,5.020920502092041,159600,150223500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-30,922.5,-1.9920318725099584,90000,83025000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-03-31,950.0,2.981029810298108,250400,237880000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-01,1007.5,6.052631578947376,282400,284518000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-04,1010.0,0.2481389578163684,220800,223008000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-05,1075.0,6.435643564356441,412800,443760000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
