日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2018-01-01,1713.0643310546875,,0,0.0,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-02,1713.0643310546875,0.0,0,0.0,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-03,1713.0643310546875,0.0,0,0.0,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-04,1801.684814453125,5.173213976376245,716900,1291627843.4814453,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-05,1827.796142578125,1.4492728092913243,524700,959044636.0107422,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-08,1827.796142578125,0.0,0,0.0,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-09,1836.499755859375,0.4761807445863963,460400,845524487.5976562,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-10,1862.611083984375,1.4217986167268215,426400,794217366.2109375,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-11,1859.4464111328125,-0.1699051873348067,402900,749170959.0454102,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-12,1884.7664794921875,1.361699278224937,511600,964246530.9082032,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-15,1853.9075927734373,-1.637279050456386,388700,720613881.3110352,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-16,1883.183349609375,1.5791378680390933,308600,581150381.6894531,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-17,1911.6683349609373,1.512597557612816,627400,1199380713.3544922,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-18,1904.5477294921875,-0.372481216460363,905000,1723615695.1904297,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-19,1920.3724365234373,0.8308905461491989,320300,615095291.418457,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-22,1897.42626953125,-1.1948810843030122,312400,592755966.6015625,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-23,1914.04248046875,0.8757236686516956,350300,670489080.9082031,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
2018-01-24,1881.601318359375,-1.6949029313827024,416400,783498788.9648438,33.36763,2.106518,484666703872.0,19.387,144.0,165.22,,,
