日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2018-01-01,858.0,,0,0.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-02,858.0,0.0,0,0.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-03,858.0,0.0,0,0.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-04,865.0,0.8158508158508049,8700,7525500.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-05,920.0,6.358381502890165,44400,40848000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-08,920.0,0.0,0,0.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-09,890.0,-3.2608695652173947,22400,19936000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-10,902.0,1.348314606741563,11200,10102400.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-11,895.0,-0.77605321507761,20400,18258000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-12,900.0,0.5586592178770999,4400,3960000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-15,900.0,0.0,9300,8370000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-16,894.0,-0.666666666666671,15800,14125200.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-17,893.0,-0.1118568232662209,26500,23664500.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-18,871.0,-2.4636058230683044,9000,7839000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-19,900.0,3.3295063145809323,23700,21330000.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-22,897.0,-0.3333333333333299,13500,12109500.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
2018-01-23,899.0,0.2229654403567371,9800,8810200.0,13.651876,1553812480.0,-71.622,-49.552,-595.349,-34.24,,,
