日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,EPS,开盘,最高,最低
2018-01-01,3555.25390625,,0,0.0,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-02,3555.25390625,0.0,0,0.0,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-03,3555.25390625,0.0,0,0.0,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-04,3578.22119140625,0.646009701750816,1189300,4255578462.939453,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-05,3605.781494140625,0.7702235624942988,2389900,8617457192.84668,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-08,3605.781494140625,0.0,0,0.0,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-09,3679.27490234375,2.038210255462003,3560400,13099690362.304688,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-10,3807.888671875,3.495628158942976,3917900,14918927027.539062,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-11,3849.228759765625,1.0856432908861624,3170000,12202055168.457031,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-12,3743.58154296875,-2.744633363991278,2876300,10767663592.041016,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-15,3734.394775390625,-0.245400493422665,1341100,5008196833.276367,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-16,3743.58154296875,0.2460041889160935,641900,2403004992.4316406,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-17,3697.6484375,-1.2269829023765275,1659200,6135138287.5,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-18,3670.088134765625,-0.7453467575464945,1258700,4619539935.229492,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-19,3711.42822265625,1.126405862001589,1406900,5221608366.455078,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-22,3729.8017578125,0.495052956812958,1287300,4801373802.832031,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-23,3743.58154296875,0.3694508730225809,2066200,7734988184.082031,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-24,3725.208251953125,-0.4907944652663976,1074600,4003108787.548828,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-25,3674.681396484375,-1.3563498213088887,1602600,5889044406.005859,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
2018-01-26,3660.9013671875,-0.3749992940900504,1634800,5984841555.078125,7.39453,1.6805158,433602035712.0,2.576,90.31,,,
