日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,1658.5877685546875,,0,0.0,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-02,1658.5877685546875,0.0,0,0.0,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-03,1658.5877685546875,0.0,0,0.0,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-04,1628.224609375,-1.8306633966164048,46400,75549621.875,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-05,1584.57763671875,-2.680648136930197,53200,84299530.2734375,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-08,1584.57763671875,0.0,0,0.0,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-09,1608.2987060546875,1.496996346929258,63400,101966137.9638672,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-10,1593.1171875,-0.9439489379388544,70000,111518203.125,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-11,1545.6748046875,-2.977959385834572,72900,112679693.26171876,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-12,1375.830810546875,-10.988339437606577,279100,383994379.2236328,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-15,1328.388427734375,-3.4482715788027973,301400,400376272.1191406,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-16,1363.495849609375,2.6428581536860563,138500,188844175.17089844,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-17,1319.8487548828125,-3.20111680127716,113100,149274894.1772461,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-18,1296.1275634765625,-1.797265885086674,69000,89432801.87988281,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
2018-01-19,1320.797607421875,1.9033654279476009,38400,50718628.125,26.44479,4.0200653,12892365824.0,4.75,4.862,16.603,99.0,38.76,,,
