日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,868.8793334960938,,0,0.0,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-02,868.8793334960938,0.0,0,0.0,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-03,868.8793334960938,0.0,0,0.0,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-04,893.4613037109375,2.829158119797115,25500,22783263.244628903,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-05,888.7339477539062,-0.5291058423455453,8500,7554238.555908203,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-08,888.7339477539062,0.0,0,0.0,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-09,888.7339477539062,0.0,16600,14752983.532714844,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-10,894.40673828125,0.6383001956525414,12100,10822321.533203123,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-11,892.5158081054688,-0.2114172551310411,31900,28471254.278564453,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-12,884.9520874023438,-0.8474606986715871,9700,8584035.247802734,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-15,918.0432739257812,3.7393195625508016,74600,68486028.23486328,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-16,914.2614135742188,-0.411947939598789,24800,22673683.056640625,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-17,886.843017578125,-2.998966771320266,22300,19776599.291992188,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-18,884.0067138671875,-0.3198202674790318,6800,6011245.654296875,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-19,877.3883666992188,-0.7486761202317171,7700,6755890.423583984,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-22,885.8975830078125,0.9698346401156188,13600,12048207.12890625,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-23,910.4795532226562,2.774809491113261,19100,17390159.466552734,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-24,917.0978393554688,0.7269011269266823,16300,14948694.78149414,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-25,915.2069091796876,-0.206186308007239,12700,11623127.746582031,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-26,923.7160034179688,0.929745410893812,15600,14409969.653320312,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-29,918.0432739257812,-0.6141205166086849,17700,16249365.948486328,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-30,953.025390625,3.810508468694129,74600,71095694.140625,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-01-31,944.5161743164062,-0.8928635472149726,20100,18984775.10375977,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-01,945.4617309570312,0.1001101586544317,21200,20043788.696289062,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-02,937.8980102539062,-0.8000028404606785,13900,13036782.342529297,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-05,916.1522827148438,-2.318559939494436,27400,25102572.54638672,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-06,831.060791015625,-9.28792006576311,68900,57260088.50097656,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-07,842.4063110351562,1.365185332070129,24700,20807435.88256836,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-08,857.53369140625,1.795734454138298,7600,6517256.0546875,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-09,840.5154418945312,-1.9845575377698488,15900,13364195.526123049,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-12,840.5154418945312,0.0,0,0.0,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-13,875.4974975585938,4.161976558718838,21400,18735646.447753903,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-14,865.0974731445312,-1.1878988167372206,27700,23963200.00610352,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-15,834.8426513671875,-3.497273164764992,30100,25128763.806152344,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-16,840.5154418945312,0.679504157825872,25100,21096937.59155273,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-19,857.53369140625,2.024739661339159,10100,8661090.283203125,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-20,999.3529663085938,16.538041166613237,525600,525259919.0917969,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-21,1019.2077026367188,1.9867591329082,932600,950513103.479004,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
2018-02-22,1011.6439819335938,-0.7421176943185781,295600,299041961.0595703,15.522198,0.9810849,4727275520.0,9.132,3.438,9.91,229.0,62.62,,,
