日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2023-03-28,1075.0,,9921000,10665075000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-03-29,988.0,-8.093023255813957,2001600,1977580800.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-03-30,1050.0,6.275303643724706,4057300,4260165000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-03-31,1018.0,-3.0476190476190435,1068000,1087224000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-03,995.0,-2.259332023575633,1561600,1553792000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-04,932.0,-6.331658291457288,1402300,1306943600.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-05,971.0,4.184549356223166,784200,761458200.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-06,912.0,-6.07621009268795,740400,675244800.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-07,982.0,7.675438596491224,766300,752506600.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-10,1004.0,2.2403258655804503,745000,747980000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-11,1034.0,2.9880478087649376,638000,659692000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-12,999.0,-3.384912959381048,314900,314585100.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-13,982.0,-1.7017017017016969,320300,314534600.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-14,979.0,-0.3054989816700604,256300,250917700.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-17,983.0,0.4085801838610736,241600,237492800.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-18,974.0,-0.915564598168872,204700,199377800.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-19,1008.0,3.490759753593431,217500,219240000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-20,996.0,-1.1904761904761862,235200,234259200.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-21,1017.0,2.108433734939763,260900,265335300.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-24,1023.0,0.5899705014749346,558200,571038600.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-25,1014.0,-0.8797653958944274,181200,183736800.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-26,1059.0,4.4378698224851965,334100,353811900.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-27,1020.0,-3.682719546742208,1156400,1179528000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-04-28,1052.0,3.137254901960796,394100,414593200.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-05-01,1034.0,-1.7110266159695795,1842000,1904628000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-05-02,1070.0,3.481624758220514,3192700,3416189000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-05-08,1107.0,3.457943925233642,1063800,1177626600.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-05-09,1080.0,-2.4390243902439046,990200,1069416000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-05-10,1050.0,-2.777777777777779,844300,886515000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
2023-05-11,1099.0,4.666666666666663,523000,574777000.0,5.7274246,8858066944.0,23.76,19.635001,-118.6,,,
