日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-02-27,732.6670532226562,0.0,33300,24397812.872314453,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-02-28,743.2714233398438,1.447365494400743,50100,37237898.30932617,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-01,730.7389526367188,-1.6861230379087044,25800,18853064.978027344,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-02,723.0266723632812,-1.0554083979797957,39700,28704158.892822266,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-05,720.1345825195312,-0.3999976701131835,31500,22684239.349365234,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-06,723.99072265625,0.5354749279262938,15200,11004658.984375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-07,742.3074340820312,2.5299649363708765,51600,38303063.59863281,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-08,728.8109130859375,-1.818184808129275,16500,12025380.065917969,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-09,732.6670532226562,0.529100218929357,26000,19049343.383789062,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-12,732.6670532226562,0.0,16800,12308806.494140623,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-13,733.631103515625,0.1315809532759004,13500,9904019.897460938,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-14,732.6670532226562,-0.1314080453171828,8700,6374203.363037109,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-15,726.8828735351562,-0.7894690585659836,29900,21733797.91870117,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-16,724.954833984375,-0.2652476239265788,13300,9641899.291992188,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-19,722.0626831054688,-0.3989422158910072,20200,14585666.198730469,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-20,724.954833984375,0.4005401395994701,11800,8554467.041015625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-21,724.954833984375,0.0,0,0.0,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-22,726.8828735351562,0.2659530580939373,25000,18172071.838378903,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-23,716.2784423828125,-1.45889132051904,35900,25714396.08154297,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-26,714.350341796875,-0.2691831097866637,32900,23502126.245117188,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
