日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROE,配当利回り,EPS,开盘,最高,最低
2018-02-22,1036.2454833984375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-02-23,1036.2454833984375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-02-26,1048.6744384765625,1.199421881904228,2400,2516818.65234375,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-02-27,1042.4600830078125,-0.5925914889064909,600,625476.0498046875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-02-28,1042.4600830078125,0.0,600,625476.0498046875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-01,1042.4600830078125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-02,1040.906494140625,-0.1490310173512754,300,312271.9482421875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-05,1023.8170776367188,-1.6417821005156985,300,307145.1232910156,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-06,1026.9241943359375,0.3034835779835765,1200,1232309.033203125,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-07,1028.4776611328125,0.1512737556913501,300,308543.2983398437,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-08,1034.692138671875,0.6042404005369928,300,310407.6416015625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-09,1034.692138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-12,1034.692138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-13,1034.692138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
