日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2022-06-01,2200.0,,1853900,4078580000.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-02,1753.0,-20.318181818181813,3607400,6323772200.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-03,1594.0,-9.070165430690247,3256300,5190542200.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-06,1899.0,19.13425345043916,8289500,15741760500.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-07,1680.0,-11.532385466034755,8230000,13826400000.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-08,1659.0,-1.2499999999999956,2119300,3515918700.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-09,1588.0,-4.2796865581675725,923200,1466041600.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-10,1620.0,2.015113350125941,764500,1238490000.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-13,1383.0,-14.629629629629626,477100,659829300.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-14,1292.0,-6.579898770788139,445500,575586000.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-15,1233.0,-4.566563467492257,574500,708358500.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-16,1127.0,-8.596918085969186,409900,461957300.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-17,1040.0,-7.719609582963615,395600,411424000.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-20,1086.0,4.42307692307693,1414200,1535821200.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-21,1386.0,27.62430939226519,1778200,2464585200.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-22,1305.0,-5.844155844155841,4211700,5496268500.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-23,1472.0,12.79693486590039,2507200,3690598400.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-24,1454.0,-1.2228260869565188,1998400,2905673600.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
2022-06-27,1464.0,0.687757909215958,1210900,1772757600.0,5.126406,6987287552.0,4.363,0.352,-21.285,-41.31,,,
