日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,EPS,开盘,最高,最低
2022-06-27,1802.0,,8442500,15213385000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-06-28,2102.0,16.648168701442835,8545500,17962641000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-06-29,2254.0,7.231208372978126,13363500,30121329000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-06-30,2052.0,-8.961845607808339,12204500,25043634000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-01,2100.0,2.3391812865497075,5952000,12499200000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-04,1620.0,-22.85714285714285,13085000,21197700000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-05,1816.0,12.098765432098755,11038000,20045008000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-06,1680.0,-7.488986784140971,5076500,8528520000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-07,1866.0,11.071428571428577,6036000,11263176000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-08,1764.0,-5.466237942122188,6156000,10859184000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-11,2064.0,17.006802721088434,4821000,9950544000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-12,2060.0,-0.1937984496124034,5809000,11966540000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-13,2056.0,-0.1941747572815511,6095500,12532348000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-14,2082.0,1.2645914396887117,3157000,6572874000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-15,2084.0,0.0960614793467762,1989500,4146118000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-19,2142.0,2.7831094049904026,2148500,4602087000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-20,2242.0,4.668534080298792,6238000,13985596000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-21,2324.0,3.657448706512034,2725000,6332900000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-22,2282.0,-1.8072289156626509,3653500,8337287000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-25,2098.0,-8.063102541630151,2160500,4532729000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-26,2132.0,1.620591039084851,1715000,3656380000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-27,2114.0,-0.8442776735459678,1830500,3869677000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-28,2040.0,-3.5004730368968784,1263000,2576520000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-07-29,2014.0,-1.274509803921564,1143500,2303009000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-08-01,1988.0,-1.2909632571996066,712000,1415456000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-08-02,2100.0,5.633802816901401,920000,1932000000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
2022-08-03,2078.0,-1.0476190476190528,694500,1443171000.0,21.600397,20.806602,31604523008.0,-384.483,-162.41,,,
