日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-02-22,2484.044677734375,-1.1406769849260256,900,2235640.209960937,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-23,2424.8095703125,-2.3846232699768377,3300,8001871.58203125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-26,2493.18212890625,2.8197083775505893,1500,3739773.193359375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-27,2471.033203125,-0.8883797747646582,800,1976826.5625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-28,2471.033203125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-01,2278.435302734375,-7.794225514536002,6300,14354142.407226562,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-02,2175.395263671875,-4.522403552071042,12200,26539822.216796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-05,2061.76220703125,-5.223559071689,8900,18349683.642578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-06,2127.24560546875,3.176088795021137,3600,7658084.1796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-07,1976.05615234375,-7.107287129249218,12800,25293518.75,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-08,2054.058349609375,3.947367445662331,3300,6778392.5537109375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-09,2106.059814453125,2.531644967809177,5200,10951511.03515625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-12,2107.022705078125,0.0457200036956262,3600,7585281.73828125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-13,2151.320556640625,2.1023908027064886,1900,4087509.057617188,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-14,2075.244140625,-3.536265935859484,5300,10998793.9453125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-15,2127.24560546875,2.505799863532632,1500,3190868.408203125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-16,2024.205810546875,-4.843812799846859,3600,7287140.91796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-19,2027.0946044921875,0.1427124618584185,1300,2635222.985839844,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-20,2061.76220703125,1.710211376530557,1300,2680290.869140625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-21,2061.76220703125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-22,2137.838623046875,3.689873437207303,1800,3848109.521484375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-23,2137.838623046875,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-26,1960.6483154296875,-8.28829200235206,3000,5881944.946289063,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-27,1998.2049560546875,1.915521530783515,800,1598563.96484375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-28,2022.27978515625,1.204822810023276,2100,4246787.548828125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-29,2022.27978515625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-03-30,2071.39208984375,2.4285613221271207,200,414278.41796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-02,2118.57861328125,2.278010216842108,500,1059289.306640625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-03,2093.541015625,-1.1818111208756088,1300,2721603.3203125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-04,2156.135498046875,2.9898856508998595,3800,8193314.892578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-05,2181.17333984375,1.161236936155241,2300,5016698.681640625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-06,2211.98876953125,1.4127914148128973,1300,2875585.400390625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-09,2169.617431640625,-1.9155313297365413,2600,5641005.322265625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-10,2144.57958984375,-1.1540210468322876,900,1930121.630859375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-11,2228.359619140625,3.906594546252262,2600,5793735.009765625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-12,2290.9541015625,2.8089937496720063,2000,4581908.203125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-13,2395.920166015625,4.581761999576295,8500,20365321.41113281,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-16,2168.654296875,-9.48553596919568,11600,25156389.84375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-17,2188.876953125,0.9324979218283236,1600,3502203.125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-18,2137.838623046875,-2.3317130734671454,1300,2779190.209960937,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-19,2124.356689453125,-0.6306338302811354,2300,4886020.385742188,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-20,2131.09765625,0.3173180299872458,1200,2557317.1875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-23,2052.132568359375,-3.705371626637533,2500,5130331.4208984375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-24,2055.984375,0.1876977491617193,2000,4111968.75,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-25,2055.984375,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
