日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2020-06-25,5230.0,,1481700,7749291000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-06-26,4440.0,-15.105162523900573,2309100,10252404000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-06-29,4415.0,-0.5630630630630629,853400,3767761000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-06-30,4290.0,-2.8312570781426905,379200,1626768000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-01,3795.0,-11.538461538461542,153100,581014500.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-02,4115.0,8.432147562582347,427400,1758751000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-03,4060.0,-1.3365735115431376,169400,687764000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-06,4420.0,8.866995073891616,1051300,4646746000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-07,4695.0,6.221719457013575,721800,3388851000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-08,4410.0,-6.070287539936103,710000,3131100000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-09,4195.0,-4.87528344671202,128600,539477000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-10,4200.0,0.1191895113230145,68900,289380000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-13,4590.0,9.285714285714274,176300,809217000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-14,4285.0,-6.644880174291934,121100,518913500.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-15,4240.0,-1.0501750291715295,40300,170872000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-16,3995.0,-5.778301886792447,77400,309213000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
2020-07-17,3970.0,-0.6257822277847325,40400,160388000.0,1.5123329,1377737344.0,-21.965,-10.543,-35.634,-144.48,,,
