code,name,date,close,pct_chg,volume,z_score,vol_ratio
603229,奥翔药业,2025-12-31,9.92,5.2,167901,4.15,3.91
603215,比依股份,2025-12-31,22.04,5.96,207739,4.11,4.9
603418,友升股份,2025-12-31,60.5,4.74,92677,4.08,5.08
603219,富佳股份,2025-12-31,16.84,3.0,88963,4.02,3.37
603051,鹿山新材,2025-12-31,21.19,3.52,80682,3.88,2.74
688279,峰岹科技,2025-12-31,203.49,5.05,25743,3.79,3.07
603055,台华新材,2025-12-31,9.44,4.66,129804,3.73,3.2
688118,普元信息,2025-12-31,25.52,3.57,43386,3.73,2.71
603726,朗迪集团,2025-12-31,24.2,7.32,267714,3.7,4.68
688609,九联科技,2025-12-31,10.21,3.55,227257,3.66,2.65
688509,正元地信,2025-12-31,5.49,8.93,454476,3.66,2.51
603079,圣达生物,2025-12-31,17.72,5.98,94681,3.63,2.86
688201,信安世纪,2025-12-31,14.63,4.05,203168,3.58,3.08
600071,凤凰光学,2025-12-31,21.5,4.37,80558,3.56,2.43
600668,尖峰集团,2025-12-31,11.3,3.86,134242,3.53,3.16
600649,城投控股,2025-12-31,4.45,3.97,518387,3.5,2.74
600230,沧州大化,2025-12-31,15.26,5.53,336570,3.49,3.0
600416,湘电股份,2025-12-31,15.78,7.49,1024425,3.44,3.23
603655,朗博科技,2025-12-31,41.8,7.46,42259,3.43,2.62
603039,泛微网络,2025-12-31,53.54,3.3,48685,3.42,2.9
600861,北京人力,2025-12-31,18.34,3.62,95189,3.39,2.65
603332,苏州龙杰,2025-12-31,13.88,4.2,214236,3.38,4.17
600273,嘉化能源,2025-12-31,8.74,3.68,328344,3.37,2.46
600477,杭萧钢构,2025-12-31,2.97,5.32,2300460,3.31,4.92
600843,上工申贝,2025-12-31,12.54,4.41,848199,3.3,2.99
603885,吉祥航空,2025-12-31,14.88,7.2,405114,3.27,2.28
688369,致远互联,2025-12-31,25.43,7.12,79723,3.23,2.58
600969,郴电国际,2025-12-31,10.23,6.12,260391,3.23,2.22
688365,光云科技,2025-12-31,16.87,6.64,393499,3.21,2.46
603859,能科科技,2025-12-31,42.05,4.58,164661,3.19,2.82
688088,虹软科技,2025-12-31,49.5,3.08,99989,3.15,2.09
600681,百川能源,2025-12-31,4.32,5.88,1235806,3.1,2.89
600556,天下秀,2025-12-31,6.07,5.38,1605154,2.91,2.3
603922,金鸿顺,2025-12-31,20.76,3.39,54702,2.88,1.99
688160,步科股份,2025-12-31,152.5,4.46,83940,2.86,2.94
920227,美登科技,2025-12-31,59.9,4.92,20419,2.85,2.43
605389,长龄液压,2025-12-31,78.0,5.18,25260,2.82,1.9
603712,七一二,2025-12-31,20.77,5.27,371552,2.8,1.88
688631,莱斯信息,2025-12-31,68.08,5.18,47345,2.79,2.25
920670,数字人,2025-12-31,16.84,6.11,105811,2.73,2.38
688596,正帆科技,2025-12-31,31.63,3.67,161914,2.63,2.28
688011,新光光电,2025-12-31,63.84,5.85,67590,2.63,2.26
603507,振江股份,2025-12-31,26.31,3.3,139782,2.5,2.25
