code,name,date,close,pct_chg,volume,z_score,vol_ratio
600728,佳都科技,2025/12/30,6.96,8.75,2209346,4.08,5.06
600236,桂冠电力,2025/12/30,7.52,5.03,508324,3.74,3.75
603205,健尔康,2025/12/30,29.5,4.46,67327,3.74,4.77
600552,凯盛科技,2025/12/30,12.14,7.43,799724,3.72,4.17
600688,上海石化,2025/12/30,2.86,4,1113311,3.64,2.98
603007,*ST花王,2025/12/30,5.85,5.03,364840,3.57,3.73
688171,纬德信息,2025/12/30,45,4.87,23536,3.31,2.58
688593,新相微,2025/12/30,20.63,8.12,113635,3.18,1.95
688696,极米科技,2025/12/30,111.5,6.65,12006,3.15,2.08
603983,丸美生物,2025/12/30,33.51,3.62,36559,3.03,1.77
603275,众辰科技,2025/12/30,45.3,5.69,43458,3,2.15
603192,汇得科技,2025/12/30,27.64,5.86,124456,2.91,3.46
603270,金帝股份,2025/12/30,27.35,5.88,122401,2.86,4.19
603085,天成自控,2025/12/30,12.12,6.32,392204,2.7,3.04
603730,岱美股份,2025/12/30,8.81,7.05,414515,2.69,1.95
600506,统一股份,2025/12/30,28.58,7.97,452180,2.65,3.07
603039,泛微网络,2025/12/30,52.18,3.84,29017,2.53,1.93
605296,神农集团,2025/12/30,29.86,3.5,43209,2.53,2.38
