code,name,date,close,pct_chg,volume,z_score,vol_ratio
600675,中华企业,2026-01-20,3.02,9.42,1168400,3.71,3.51
605376,博迁新材,2026-01-20,73.99,6.77,219881,3.71,3.3
600585,海螺水泥,2026-01-20,23.44,5.06,826132,3.52,2.78
688308,欧科亿,2026-01-20,42.39,6.56,157084,3.49,2.85
601965,中国汽研,2026-01-20,19.54,3.44,420172,3.35,3.61
920056,能之光,2026-01-20,29.7,8.79,68315,3.27,3.89
920261,一诺威,2026-01-20,16.88,5.76,69400,3.03,2.92
603737,三棵树,2026-01-20,47.39,7.75,97868,2.82,2.41
688689,银河微电,2026-01-20,32.51,4.87,75223,2.76,2.39
600605,汇通能源,2026-01-20,30.38,6.04,64085,2.75,2.24
688100,威胜信息,2026-01-20,45.67,6.01,98219,2.74,2.38
688352,颀中科技,2026-01-20,15.35,7.04,394684,2.7,2.75
600853,龙建股份,2026-01-20,4.95,6.0,990514,2.7,2.8
600831,广电网络,2026-01-20,4.4,3.53,305445,2.62,2.06
603070,万控智造,2026-01-20,15.3,4.94,120627,2.6,3.07
600639,浦东金桥,2026-01-20,10.72,3.28,127966,2.6,2.23
688262,国芯科技,2026-01-20,35.46,9.28,317449,2.54,2.16
600663,陆家嘴,2026-01-20,8.4,3.07,151789,2.5,2.06
